Plate	Repeat	Well	Type	Time	Absorbance @ 600 (A)	Time	GFP (Counts)	Time	mCherry (Counts)
1	1	A01	M	00:00:41.30	0.039	00:01:34.70	538	00:02:31.88	8851
1	1	A02	M	00:00:41.62	0.038	00:01:35.06	574	00:02:32.24	9340
1	1	A03	M	00:00:41.94	0.036	00:01:35.42	496	00:02:32.60	8891
1	1	A04	M	00:00:42.26	0.042	00:01:35.78	500	00:02:32.96	7496
1	1	A05	M	00:00:42.58	0.039	00:01:36.14	566	00:02:33.32	8593
1	1	A06	M	00:00:42.90	0.038	00:01:36.50	514	00:02:33.68	8992
1	1	A07	M	00:00:43.22	0.039	00:01:36.86	524	00:02:34.04	7951
1	1	A08	M	00:00:43.54	0.041	00:01:37.22	650	00:02:34.40	8241
1	1	A09	M	00:00:43.86	0.039	00:01:37.58	538	00:02:34.76	8359
1	1	A10	M	00:00:44.18	0.040	00:01:37.94	500	00:02:35.12	7899
1	1	A11	M	00:00:44.50	0.039	00:01:38.30	508	00:02:35.49	8685
1	1	A12	M	00:00:44.82	0.039	00:01:38.66	492	00:02:35.85	8045
1	1	B01	M	00:00:47.58	0.040	00:01:41.47	490	00:02:38.65	9302
1	1	B02	M	00:00:47.90	0.039	00:01:41.83	448	00:02:39.01	8937
1	1	B03	M	00:00:48.22	0.038	00:01:42.19	498	00:02:39.37	8541
1	1	B04	M	00:00:48.54	0.043	00:01:42.55	506	00:02:39.73	7526
1	1	B05	M	00:00:48.86	0.039	00:01:42.91	460	00:02:40.09	8593
1	1	B06	M	00:00:49.18	0.040	00:01:43.27	528	00:02:40.45	8397
1	1	B07	M	00:00:49.50	0.040	00:01:43.63	544	00:02:40.81	8583
1	1	B08	M	00:00:49.82	0.040	00:01:43.99	538	00:02:41.17	8099
1	1	B09	M	00:00:50.14	0.038	00:01:44.35	518	00:02:41.53	8655
1	1	B10	M	00:00:50.46	0.042	00:01:44.71	496	00:02:41.89	7372
1	1	B11	M	00:00:50.78	0.038	00:01:45.07	486	00:02:42.25	8357
1	1	B12	M	00:00:51.10	0.040	00:01:45.43	484	00:02:42.62	7807
1	1	C01	M	00:00:53.86	0.042	00:01:48.24	588	00:02:45.42	8171
1	1	C02	M	00:00:54.18	0.040	00:01:48.60	536	00:02:45.78	8913
1	1	C03	M	00:00:54.50	0.039	00:01:48.96	598	00:02:46.14	8155
1	1	C04	M	00:00:54.82	0.038	00:01:49.32	476	00:02:46.50	8539
1	1	C05	M	00:00:55.14	0.039	00:01:49.68	528	00:02:46.86	8417
1	1	C06	M	00:00:55.46	0.039	00:01:50.04	484	00:02:47.22	8725
1	1	C07	M	00:00:55.78	0.043	00:01:50.40	492	00:02:47.58	7538
1	1	C08	M	00:00:56.10	0.038	00:01:50.76	556	00:02:47.94	9114
1	1	C09	M	00:00:56.42	0.038	00:01:51.12	514	00:02:48.31	9264
1	1	C10	M	00:00:56.74	0.043	00:01:51.48	532	00:02:48.67	8047
1	1	C11	M	00:00:57.06	0.037	00:01:51.84	534	00:02:49.03	9608
1	1	C12	M	00:00:57.38	0.037	00:01:52.20	590	00:02:49.39	10197
1	1	D01	M	00:01:00.14	0.026	00:01:55.01	486	00:02:52.19	9454
1	1	D02	M	00:01:00.46	0.033	00:01:55.37	440	00:02:52.56	8465
1	1	D03	M	00:01:00.78	0.033	00:01:55.73	480	00:02:52.92	8681
1	1	D04	M	00:01:01.10	0.035	00:01:56.09	564	00:02:53.28	8849
1	1	D05	M	00:01:01.42	0.036	00:01:56.45	462	00:02:53.64	7598
1	1	D06	M	00:01:01.74	0.034	00:01:56.81	468	00:02:54.00	9028
1	1	D07	M	00:01:02.06	0.036	00:01:57.17	606	00:02:54.36	9520
1	1	D08	M	00:01:02.38	0.034	00:01:57.53	606	00:02:54.72	9598
